Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
R_roller_14,7.28583859910259E-17,1.66533453693773E-16,0.000228119247514699,0,0,0,0.0102614605521241,1.02352821766474E-06,-2.64697796016969E-23,5.29395592033938E-22,1.02352821766474E-06,4.91014411611477E-21,7.96937026000539E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_14.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_14.STL,,217-2586-004 Rev1_76-14;217-2586-003 Rev2_67-14,tf_R_roller_14,Axis7,R_roller_joint_14,continuous,0,0,0.01562,0,0,0,R_pin_7,0,0,1,,,,,,,,,,,,
R_roller_guide_8,-0.0106582265036104,0.0109512234545013,9.3273779427569E-08,0,0,0,0.00548592639634297,4.15898396563854E-07,6.85950843566803E-08,8.00057928461108E-09,4.12184476952516E-07,7.78350717730002E-09,5.92619739249946E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_8.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_8.STL,,217-2586-002 Rev2_26-8;217-2586-005 Rev2_49-16;217-2586-005 Rev2_49-15,tf_R_roller_guide_8,Axis8,R_roller_guide_joint_8,fixed,0.056682,-0.041056,0.0080608,0.60902,-0.53139,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_8,1.66533453693773E-16,1.38777878078145E-16,-2.25514051876985E-17,0,0,0,0.00969526908824346,3.09307788698156E-06,2.64697796016969E-22,-1.70688719400317E-20,3.09307788698156E-06,4.2070405954447E-21,3.02977159007607E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_8.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_8.STL,,217-2586-007 Rev1_94-8,tf_R_pin_8,Axis8,R_pin_joint_8,fixed,-0.0053926,0.0055408,0,0,0,0,R_roller_guide_8,0,0,0,,,,,,,,,,,,
R_roller_15,1.59594559789866E-16,1.38777878078145E-16,-0.000228119247514426,0,0,0,0.0102614605521242,1.02352821766548E-06,-1.32348898008484E-22,1.95876369052557E-21,1.02352821766548E-06,6.35274710440725E-22,7.96937026001951E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_15.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_15.STL,,217-2586-004 Rev1_76-15;217-2586-003 Rev2_67-15,tf_R_roller_15,Axis8,R_roller_joint_15,continuous,0,0,-0.01562,0,0,0,R_pin_8,0,0,1,,,,,,,,,,,,
R_roller_16,4.85722573273506E-17,-6.93889390390723E-18,0.000228119247514508,0,0,0,0.0102614605521241,1.02352821766501E-06,1.58818677610181E-22,1.95876369052557E-21,1.02352821766501E-06,6.35274710440725E-22,7.96937026002284E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_16.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_16.STL,,217-2586-004 Rev1_76-16;217-2586-003 Rev2_67-16,tf_R_roller_16,Axis8,R_roller_joint_16,continuous,0,0,0.01562,0,0,0,R_pin_8,0,0,1,,,,,,,,,,,,
R_roller_guide_9,-0.015281594019188,3.05691270656092E-08,9.66366455251375E-08,0,0,0,0.00548592343663473,3.45420967168064E-07,-3.36021019746269E-12,2.21898872863427E-12,4.8266171287863E-07,1.11621579313117E-08,5.92619617404983E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_9.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_9.STL,,217-2586-002 Rev2_26-9;217-2586-005 Rev2_49-18;217-2586-005 Rev2_49-17,tf_R_roller_guide_9,Axis9,R_roller_guide_joint_9,fixed,0.069989,0.0001016,0.0080608,0.7854,0,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_9,-1.51961776495568E-15,-6.48786580015326E-16,7.21644966006352E-16,0,0,0,0.00969526908824346,3.09307788698156E-06,9.82015317073728E-25,-2.96022228761687E-23,3.09307788698156E-06,1.31521717395931E-21,3.02977159007612E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_9.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_9.STL,,217-2586-007 Rev1_94-9,tf_R_pin_9,Axis9,R_pin_joint_9,fixed,-0.0077317,0,0,0,0,0,R_roller_guide_9,0,0,0,,,,,,,,,,,,
R_roller_17,-1.54737334057131E-15,-6.94756752128711E-16,-0.000228119247513829,0,0,0,0.0102614605521241,1.02352821766475E-06,2.25348644557919E-23,-1.70132502558685E-23,1.02352821766475E-06,4.49986253228847E-22,7.96937026000575E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_17.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_17.STL,,217-2586-004 Rev1_76-17;217-2586-003 Rev2_67-17,tf_R_roller_17,Axis9,R_roller_joint_17,continuous,0,0,-0.01562,0,0,0,R_pin_9,0,0,1,,,,,,,,,,,,
R_roller_18,-1.49186218934005E-15,-6.93889390390723E-16,0.000228119247515368,0,0,0,0.0102614605521241,1.02352821766512E-06,2.09234756442455E-24,6.031968120748E-23,1.02352821766512E-06,-2.64697796016969E-23,7.96937026002513E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_18.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_18.STL,,217-2586-004 Rev1_76-18;217-2586-003 Rev2_67-18,tf_R_roller_18,Axis9,R_roller_joint_18,continuous,0,0,0.01562,0,0,0,R_pin_9,0,0,1,,,,,,,,,,,,
R_roller_guide_10,-0.0106582265036106,-0.0109512234545011,-9.32737793815988E-08,0,0,0,0.00548592639634297,4.15898396563853E-07,-6.85950843566804E-08,-8.00057928460998E-09,4.12184476952518E-07,7.7835071773008E-09,5.92619739249947E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_10.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_10.STL,,217-2586-002 Rev2_26-10;217-2586-005 Rev2_49-20;217-2586-005 Rev2_49-19,tf_R_roller_guide_10,Axis10,R_roller_guide_joint_10,fixed,0.056682,0.041056,0.0080608,0.60902,0.53139,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_10,-2.84494650060196E-16,2.56739074444567E-16,-2.08166817117217E-17,0,0,0,0.00969526908824346,3.09307788698156E-06,5.29395592033938E-23,-6.16249556352006E-22,3.09307788698156E-06,5.74890525724354E-22,3.02977159007609E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_10.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_10.STL,,217-2586-007 Rev1_94-10,tf_R_pin_10,Axis10,R_pin_joint_10,fixed,-0.0053926,-0.0055408,0,0,0,0,R_roller_guide_10,0,0,0,,,,,,,,,,,,
R_roller_19,-3.19189119579733E-16,2.63677968348475E-16,-0.000228119247515422,0,0,0,0.0102614605521239,1.02352821766348E-06,0,-2.14405214773745E-21,1.02352821766348E-06,2.38228016415272E-22,7.96937025998479E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_19.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_19.STL,,217-2586-004 Rev1_76-20;217-2586-003 Rev2_67-20,tf_R_roller_19,Axis10,R_roller_joint_19,continuous,0,0,-0.01562,0,0,0,R_pin_10,0,0,1,,,,,,,,,,,,
R_roller_20,-2.70616862252382E-16,2.63677968348475E-16,0.000228119247515229,0,0,0,0.0102614605521241,1.02352821766451E-06,-2.64697796016969E-23,-2.43521972335611E-21,1.02352821766451E-06,4.2351647362715E-22,7.96937026000477E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_20.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_20.STL,,217-2586-004 Rev1_76-19;217-2586-003 Rev2_67-19,tf_R_roller_20,Axis10,R_roller_joint_20,continuous,0,0,0.01562,0,0,0,R_pin_10,0,0,1,,,,,,,,,,,,
